Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,Salary,ExpectedSalary
,,,United Kingdom,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; ; ; JavaScript; jQuery; ; Node.js; Objective-C; ; ; Ruby; SQL,Node.js; Haskell; CoffeeScript; ; ; ; ; Redis; MongoDB; F#; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Germany,,,Did not answer,,Did not answer,,,,7 to 15 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Australia,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; jQuery; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$80,000 - $100,000",90000,
,,,Other Europe,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; jQuery; ; ; ; ; ; ; SQL,Node.js; ; ; ; ; ; ; Redis; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,Other Europe,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; ; C#; Java; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Other Europe,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; ; JavaScript; jQuery; ; ; ; ; ; ; ,; ; ; ; TypeScript; C++11; ; ; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United States,,,Did not answer,,Did not answer,,,,No Response,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Germany,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; ; ; ; ; PHP; Python; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United States,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Enterprise Level Services,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$100,000 - $120,000",110000,
,,,Germany,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; ; ; ; ; ; ; ; SQL,; ; ; ; ; ; WinRT; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Other Europe,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,7 to 15 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; Java; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Student / Unemployed,Not yet employed,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; jQuery; ; ; ; PHP; ; ; ,; ; ; Dart; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; ; ; ; ; ; ; ; ; ; ,; ; ; ; ; C++11; WinRT; ; ; F#; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United States,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; jQuery; ; ; ; ; ; ; SQL,; ; ; ; ; ; WinRT; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,">$140,000","> 140,000",
,,,Other Europe,,,Did not answer,,Did not answer,"1,000-3,000",,,3 to 7 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; Java; ; ; ; ; ; PHP; ; ; ,Node.js; ; ; ; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Others,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Enterprise Level Services,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; ; ; ; ; ; ; Python; ; SQL,; ; ; ; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$20,000 - $40,000",30000,
,,,United States,,,Did not answer,,Did not answer,101-999,,,7 to 15 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$80,000 - $100,000",90000,
,,,Italy,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,3 to 7 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; ; JavaScript; jQuery; ; ; Objective-C; PHP; ; ; SQL,; ; ; ; ; ; WinRT; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Student / Unemployed,Not yet employed,
,,,United Kingdom,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$40,000 - $60,000",50000,
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Mobile Application Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; Objective-C; PHP; ; ; SQL,Node.js; ; ; Dart; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$20,000 - $40,000",30000,
,,,Others,,,Did not answer,,Did not answer,,,,3 to 7 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Other Europe,,,Did not answer,,Did not answer,,,,7 to 15 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; Python; Ruby; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; ; JavaScript; jQuery; ; ; ; PHP; Python; ; SQL,; ; ; ; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,1 to 3 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; jQuery; ; ; ; PHP; ; ; ,; ; ; ; ; ; ; ; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Germany,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; Java; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,Node.js; ; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; ; JavaScript; jQuery; ; ; ; PHP; Python; ; SQL,Node.js; ; CoffeeScript; ; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Other Europe,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; ; Java; JavaScript; jQuery; ; ; ; PHP; ; Ruby; SQL,; ; CoffeeScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,India,,,Did not answer,,Did not answer,3001,,,1 to 3 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; ; ; ; ; ; ; ; SQL,Node.js; ; CoffeeScript; ; ; ; ; ; MongoDB; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United States,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; jQuery; ; ; ; PHP; ; ; ,Node.js; ; ; ; ; ; ; ; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Front-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; Node.js; ; PHP; ; ; ,Node.js; ; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,United Kingdom,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Other,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; Java; ; ; ; ; ; ; ; ; SQL,; ; ; ; ; ; ; ; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$100,000 - $120,000",110000,
,,,United Kingdom,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Mobile Application Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; ; ; ; ; ; ; ; Objective-C; ; ; Ruby; ,; ; CoffeeScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$120,000 - $140,000",130000,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; ; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Germany,,,Did not answer,,Did not answer,3001,,,1 to 3 years,,Mobile Application Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Others,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; ; JavaScript; jQuery; ; ; ; ; ; ; ,Node.js; ; CoffeeScript; ; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,India,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,1 to 3 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; ; ; ; ; ; ; ; Python; ; ,; ; ; ; ; C++11; WinRT; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United Kingdom,,,Did not answer,,Did not answer,,,,7 to 15 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Italy,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,1 to 3 years,,I don't work in tech,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; ; ; ; ; ; Python; ; ,; ; ; ; ; ; ; ; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Others,,,Did not answer,,Did not answer,,,,7 to 15 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Other Europe,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; ; ; Ruby; ,; ; CoffeeScript; ; ; ; ; Redis; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United States,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,1 to 3 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; Java; JavaScript; jQuery; ; ; ; PHP; Python; ; ,; ; ; ; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United Kingdom,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; jQuery; ; ; ; ; ; ; ,; ; ; ; ; ; WinRT; ; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,">$140,000","> 140,000",
,,,India,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,1 to 3 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; Java; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United Kingdom,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; Java; JavaScript; ; ; ; ; ; Python; ; ,; ; ; ; ; C++11; WinRT; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,France,,,Did not answer,,Did not answer,101-999,,,3 to 7 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; ; ; Java; JavaScript; ; ; ; ; ; Python; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$40,000 - $60,000",50000,
,,,Germany,,,Did not answer,,Did not answer,101-999,,,3 to 7 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; ; ; ; ; ; PHP; Python; ; ,; ; ; ; TypeScript; ; WinRT; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
